change_id,thesis_component,type,summary,evidence,colour
C2-01,English Abstract,insert,"Stage-8S 90.39%/55.05% and Stage-8U 44.95%/19.3%/87.9%/67.70% bounded findings + trade-off framing",Stage-8S/8U,red FF0000
C2-02,Arabic Abstract,insert,"exact RTL scientific mirror of the English abstract addition",Stage-8S/8U,red FF0000
C2-03,Ch1 1.3 Research Questions,insert,"refined RQ1-RQ5 (open questions)",directive/frozen evidence,red FF0000
C2-04,Ch1 1.5 Contributions,insert,"C4 note naming Stage-8S within-PoCol and Stage-8U matched-PoW experiments; trade-off contribution",Stage-8S/8U,red FF0000
C2-05,Ch7 7.3.1 Throughput,insert,"bounding: legacy BlockSim PoW abstraction vs matched same-template PoW control (67.70%, 5.219x); work-efficiency framing",Stage-8U H-U2,red FF0000
C2-06,Ch7 7.4.4 (new subsection),insert,"reduced-scale operating-policy + matched-PoW evaluation: 2 result boxes, Tables 7.2-7.8, Figures 7.10-7.19",Stage-8S/8U,red FF0000
C2-07,Ch6 6.9 Threats to Validity,insert,"reduced-scale/simulator-only/matched-template/no-security-proof/failed-joint-rule threats",Stage-8U limitations,red FF0000
C2-08,Ch8 8.2 (RQ answers),insert,"research-question answer matrix Table 8.1 (RQ1-RQ5, bounded)",Stage-8S/8U,red FF0000
C2-09,figures word/media,insert,"10 PNG figures embedded (imageStage9_1..10) with rels rId41-rId50",Stage-8U figures,n/a
CLEAN-01,whole document,transform,"clean copy: all FF0000 runs recoloured to auto/black; box shading removed",n/a,black
