claim_id,thesis_location,current_claim_summary,classification,stage9_action,supporting_evidence
CM01,Abstract [31-35],"PoCol eliminates most duplicate candidate-header inputs under the common-template baseline",SUPPORTED,retain; reinforce with Stage-8U P02 duplicate evaluations = 0,Stage-6A H1; Stage-8U P02
CM02,Abstract [33],"total fixed-horizon energy is an accounting invariant 8.420833333 kWh; partitioning alone does not reduce energy",SUPPORTED,retain verbatim as macro-scale finding,Stage-6A A1
CM03,Abstract [34],"energy reductions arise only from explicit idle states or reduced participation",SUPPORTED_WITH_BOUND,retain; add Stage-8S 55.05% low-power-state reduction and Stage-8U 44.95% quantifications,Stage-8S H-S4; Stage-8U H-U3
CM04,Abstract (new),"Stage-8S retained 90.39% of no-floor PoCol block production at 55.05% calculated energy reduction",SUPPORTED_WITH_BOUND,INSERT (red); bound to no-floor PoCol control + within-run power-null,Stage-8S H-S2/H-S4
CM05,Abstract (new),"Stage-8U 44.95% total-energy reduction and ~19.3% lower energy per accepted block vs active-capacity-matched same-template PoW control",SUPPORTED_WITH_BOUND,INSERT (red); label matched control; note joint claim not licensed,Stage-8U H-U3 + derived
CM06,§1.3 RQ2 [342],"reduce block-production energy relative to classical PoW across miner populations of 100 to 500",REWRITE,replace with directive RQ1-RQ5; remove implied energy-vs-PoW proof,Stage-8U/8S; directive RQ set
CM07,§1.3 RQ1 [341],"reduce redundant computation and energy while maintaining security and accessibility",SUPPORTED_WITH_BOUND,rewrite RQ1 to duplicate-elimination question; drop 'maintaining security' as proven,Stage-8U P02; no security proof
CM08,§1.3 RQ3 [343],"effects on decentralization, fairness, double-spending, selfish mining, pool centralization",SUPERSEDED,rewrite as RQ5 operational-limits question; fairness/security remain unproven,no fairness/security proof in frozen evidence
CM09,§1.5 C2 [359],"eliminating duplicate hash inputs among honest miners and reducing energy use",SUPPORTED_WITH_BOUND,retain; bound 'reducing energy' to low-power-state residency,Stage-6A A1/H1; Stage-8S/8U
CM10,§1.5 C4 [361],"simulation-based evaluation focused on energy savings and performance across varying miner populations",SUPPORTED_WITH_BOUND,update to name Stage-8S within-PoCol and Stage-8U matched-PoW experiments,Stage-8S/8U datasets
CM11,§7.3.1 [1592],"In simulations with 100 miners PoCol performs equally to PoW in throughput, and better at higher counts",SUPERSEDED,REWRITE/bound: legacy BlockSim PoW abstraction; matched-PoW control shows PoCol produces fewer blocks (67.70% of W01),Stage-8U H-U2; legacy vs matched distinction
CM12,§7.3.1 [1595],"improved throughput performance indicative of collaborative work allocation increasing useful work",SUPERSEDED,REWRITE: reframe as work-efficiency (blocks per million evaluations) not raw throughput superiority,Stage-8U FIG07 1173.2 vs 208.7
CM13,§7.4.1 [1608],"total fixed-horizon energy is an accounting invariant not a PoCol advantage",SUPPORTED,retain verbatim,Stage-6A A1
CM14,§7 Table 7.1 [1565-1588],"Corrected Stage-6A summary (A1 invariant, H1 duplicate, C2 idle saving, H5/H6/H8)",SUPPORTED,retain; add cross-reference to new Stage-8S/8U results subsections,Stage-6A frozen
CM15,§7 (new subsection),"Best within-PoCol energy/throughput result (Stage-8S)",SUPPORTED_WITH_BOUND,INSERT new §7.x with result box + Stage-8S table + figures,Stage-8S dataset
CM16,§7 (new subsection),"Matched same-template PoW versus PoCol comparison (Stage-8U)",SUPPORTED_WITH_BOUND,INSERT new §7.x with result box + Stage-8U tables + FIG01-18,Stage-8U dataset
CM17,§7.6.1 [1705-1706],"bounded claim: collaborative allocation removes duplicate evaluation and enables idle-energy trade-off",SUPPORTED,retain; extend with the energy/work vs service/latency trade-off framing,Stage-8U trade-off
CM18,§7.6.2 [1710],"PoCol is a proof-of-concept, not yet a viable PoW replacement",SUPPORTED,retain; strengthen with Stage-8U not-licensed verdict,Stage-8U verdict
CM19,§8.2 [1725] RQ2 answer,"corrected answer bounded by the fixed-horizon energy invariant",SUPPORTED_WITH_BOUND,update to match rewritten RQs; add Stage-8S/8U quantified reductions,Stage-8S/8U
CM20,§8.3 [1730] empirical contributions,"two bounded findings: duplicate elimination + energy invariance",SUPPORTED_WITH_BOUND,extend to the energy/work vs service/latency trade-off as third bounded finding,Stage-8U
CM21,Ch5 §5.6.6 [1156-1158],"Post-range operating policies: energy-saving idle vs continuous performance",SUPPORTED,retain; add useful-work-aware target, coarse reassignment, single-handoff policy as evaluated refinements,Stage-8S/8U design
CM22,Ch5 §5.11 [1433],"Security and Robustness Analysis of PoCol",SUPPORTED_WITH_BOUND,retain design-level analysis; add explicit no-formal-security-proof bound,Stage-8U limitations
CM23,Ch6 §6.9 [1546],"Threats to Validity and Limitations of the Setup",SUPPORTED,extend with reduced-scale, simulator-only, matched-template, failed-joint-rule threats,Stage-8U limitations
CM24,§8.5 [1739] adaptive policies,"future work: adaptive collaboration policies",SUPPORTED,retain; align with Stage-8U future work (preregistered work allocation),Stage-8U future work
CM25,§7.3.1 [1592] 'useful work',"collaborative work allocation increasing quantity of useful work",SUPPORTED_WITH_BOUND,bound 'useful work' to accepted blocks per unit physical work; not raw throughput,Stage-8U FIG07
