numeric_value,metric_name,comparator,scenario_ids,miner_count,horizon_s,seed_count,source_file,source_row_or_field,allowed_wording,forbidden_wording,decision_status
90.39%,accepted-block retention ratio,no-floor PoCol control (S00),S03 vs S00,20,300,12,docs/thesis_revision_v45/stage_08s/STAGE_08S_HYPOTHESIS_DECISIONS.csv,"H-S2 mean_accepted_blocks_ratio_S03_over_S00_ge_0.90 = 0.9039","90.39% of the accepted-block output of the no-floor PoCol control","90.39% of PoW; 90% of Bitcoin; 90% of real-world throughput; maintains 90% of PoW block production",SUPPORTED_WITH_BOUND (gate passed; overall 8S NOT LICENSED)
160.8,mean accepted blocks (S03),within-PoCol coarse policy,S03,20,300,12,experiments/thesis_revision_v45/stage_08s/stage8s_results.json,scenario_means_descriptive.S03.rounds_accepted = 160.83,"approximately 160.8 accepted blocks (Stage-8S coarse policy)",,SUPPORTED
177.9,mean accepted blocks (S00),no-floor PoCol control,S00,20,300,12,experiments/thesis_revision_v45/stage_08s/stage8s_results.json,scenario_means_descriptive.S00.rounds_accepted = 177.92,"approximately 177.9 accepted blocks (no-floor PoCol control)",,SUPPORTED
55.05%,mean calculated low-power-state energy reduction,within-run power-null reference (same event path),S03,20,300,12,docs/thesis_revision_v45/stage_08s/STAGE_08S_HYPOTHESIS_DECISIONS.csv,"H-S4 mean relative low-power-state difference = 0.5505 (CI [0.5495,0.5515])","55.05% calculated low-power-state energy reduction relative to the within-run power-null reference","measured hardware saving; 55% versus PoW; 55% versus Bitcoin; reduction caused by nonce partitioning alone",SUPPORTED (H-S4 pass)
54.95%–55.15%,95% CI of 8S energy reduction,within-run power-null reference,S03,20,300,12,experiments/thesis_revision_v45/stage_08s/stage8s_results.json,H_S4.mean_relative ci95_lower 0.549543 ci95_upper 0.551535,"95% bootstrap CI approximately 54.95% to 55.15%",,SUPPORTED
28.71 s,mean duration below useful-work target (S03),preregistered 15 s operational limit,S03,20,300,12,docs/thesis_revision_v45/stage_08s/STAGE_08S_HYPOTHESIS_DECISIONS.csv,H-S2 mean_duration_below_useful_floor_le_15s = 28.7078 (FAIL),"28.71 s below the useful-work target, exceeding the 15 s preregistered limit",,FAIL (limit exceeded; visible)
1.7482,reassignments per closed round (S03),preregistered 1.0 limit,S03,20,300,12,docs/thesis_revision_v45/stage_08s/STAGE_08S_HYPOTHESIS_DECISIONS.csv,H-S3 mean_reassignments_per_closed_round_le_1.0 = 1.7482 (FAIL),"1.7482 reassignments per closed round, exceeding the 1.0 preregistered limit",,FAIL (limit exceeded; visible)
NOT LICENSED,Stage-8S structural-policy claim,joint H-S2 AND H-S3 AND H-S4 AND integrity,S03,20,300,12,docs/thesis_revision_v45/stage_08s/STAGE_08S_HYPOTHESIS_DECISIONS.csv,OVERALL structural-policy claim = NOT LICENSED,"the joint Stage-8S operational rule was not fully satisfied","Stage-8S policy is licensed/proven/successful",NOT LICENSED
0.016175 kWh,P02 mean total energy,matched same-template PoW control (W01),P02 vs W01,20,300,12,experiments/thesis_revision_v45/stage_08u/stage8u_results.json,scenario_means_descriptive.P02.E_idle_kwh = 0.016175,"P02 single-handoff PoCol total energy 0.016175 kWh",,SUPPORTED
0.029383 kWh,W01 mean total energy,matched same-template PoW control (active-capacity-matched),P02 vs W01,20,300,12,experiments/thesis_revision_v45/stage_08u/stage8u_results.json,scenario_means_descriptive.W01.E_idle_kwh = 0.029383,"W01 matched same-template PoW control total energy 0.029383 kWh","Bitcoin energy; real-world PoW energy",SUPPORTED
44.95%,mean relative total-energy reduction,matched same-template PoW control (W01),P02 vs W01,20,300,12,experiments/thesis_revision_v45/stage_08u/stage8u_results.json,H_U3.paired_relative_reduction.mean = 0.4495 (CI [0.4487,0.4502]),"44.95% less total energy relative to the active-capacity-matched same-template PoW control","44.95% less than Bitcoin; 44.95% less than real-world PoW",SUPPORTED (H-U3 pass)
163.67,P02 mean accepted blocks,matched same-template PoW control (W01),P02 vs W01,20,300,12,experiments/thesis_revision_v45/stage_08u/stage8u_results.json,scenario_means_descriptive.P02.rounds_accepted = 163.67,"P02 produced 163.67 accepted blocks",,SUPPORTED
