chapter,section,object,original_text,revised_text,reason,authoritative_source,confidence,red_format_verified
Abstract,Abstract (EN),para:abstract-eval,"The thesis specifies the complete common-template PoCol protocol in Chapter 5. For evaluation, an idealized discrete-event abstraction of PoCol’s collaborative search and disjoint nonce allocation was implemented in an extended version of the BlockSim simulator with instrumented energy and carbon ac"," [Stage-7 correction (Stage 6A), superseding the preceding energy figures: under the frozen matched setting - aggregate hash rate 141 TH/s, efficiency 21.5 J/TH, horizon 10,000 s, aggregate power 3031.5 W - total fixed-horizon energy is the accounting-invariant 8.420833333 kWh for every continuous full-participation configuration and every miner count (100-500). Nonce-domain partitioning alone doe",Obsolete energy-reduction claim conflicts with A1 fixed-horizon invariant,STAGE_06_RESULTS_REPORT.md; diagnostics/a1_invariant.json,high,yes
Abstract,Abstract (EN),para:abstract-contrib,"The thesis contributes a structured comparative literature review of blockchain consensus mechanisms, the complete PoCol protocol design, a sustainability-aware evaluation framework built on BlockSim, and simulation-based proof-of-concept evidence that collaborative mining can make PoW-class consens"," [Stage-7 correction: under the modeled immutable-common-template and disjoint-range assumptions, PoCol eliminates duplicate candidate identities among honest miners; it does not by itself lower total fixed-horizon energy. Energy reductions occur only under an explicit idle policy with heterogeneous completion times, or with reduced participation.]",Overclaim of energy efficiency from collaboration alone,STAGE_06_CLAIM_CLASSIFICATION.md,high,yes
Abstract,Abstract (EN),para:abstract-protocol,"Blockchain systems secured by Proof-of-Work (PoW) provide open participation and strong security, but their uncoordinated, competitive block-header hashing process can consume substantial energy. This thesis proposes Proof-of-Collaboration (PoCol), a novel consensus algorithm that preserves the open"," [Stage-7 scope: here 'fairness' denotes modeled reward-share proportionality only; no incentive-, economic-, participation-, or Sybil-resistance fairness is claimed or proven.]",Unqualified fairness wording,STAGE_06_LIMITATIONS.md,high,yes
Abstract,Abstract (AR),para:abstract-ar-contrib,تحدد الأطروحة في الفصل الخامس بروتوكول PoCol الكامل القائم على القالب الموحد. ولأغراض التقييم، نفذ في نسخة موسعة من محاكي BlockSim تجريد مثالي قائم على الأحداث المتقطعة للبحث التعاوني وتوزيع نطاقات النونس المنفصلة، مع تسجيل استهلاك الطاقة والانبعاثات الكربونية، ثم قورن بخط أساس لإثبات العمل في شبكات, [تصحيح المرحلة 7 (المرحلة 6أ): بموجب الإعداد المثبَّت (معدل تجزئة إجمالي 141 تيراهاش/ث، كفاءة 21.5 جول/تيراهاش، أفق 10000 ث، قدرة إجمالية 3031.5 واط) تكون الطاقة الكلية ثابتة محاسبيًا عند 8.420833333 كيلوواط.ساعة لكل التهيئات المستمرة وبكل أعداد المُعدِّنين؛ فتقسيم نطاق النونس وحده لا يخفض الطاقة الكلية، وأي خفض للطاقة يأتي فقط من سياسة الخمول عند اختلاف أزمنة الإكمال أو من انخفاض المشاركة.],Arabic abstract must mirror corrected English scope,STAGE_06_RESULTS_REPORT.md,high,yes
5,5.6.4,heading:5.6.4,5.6.4. Fairness Across Rounds895.6.4. Range-Assignment Balance Across Rounds,5.6.4. Range-Assignment Balance Across Rounds,Fairness wording replaced with modeled range-assignment balance,STAGE_06A_CORRECTION_REPORT.md,high,yes
7,7.4.1,para:7.4.1-energy,"The largest improvement observed for the simulated PoCol abstraction concerns energy consumption. Figure 7.4 illustrates the total cumulative energy consumption of PoCol and PoW under varying numbers of miners. In simulations with 100 miners, PoW consumed approximately 7.90 kWh of electrical power, "," [Stage-7 correction (Stage 6A), superseding the preceding energy figures: under the frozen matched setting - aggregate hash rate 141 TH/s, efficiency 21.5 J/TH, horizon 10,000 s, aggregate power 3031.5 W - total fixed-horizon energy is the accounting-invariant 8.420833333 kWh for every continuous full-participation configuration and every miner count (100-500). Nonce-domain partitioning alone doe",Obsolete 98.3% energy reduction conflicts with A1,diagnostics/a1_invariant.json,high,yes
7,7.4.1,para:7.4-timeseries,"The time-series diagrams reinforce the same conclusion. Figure 7.7 illustrates cumulative energy over simulation time. The PoW curves rise steeply with miner count, whereas the PoCol curves stay compressed near the horizontal axis. This indicates that the event-driven collaborative model suppresses "," [Stage-7 correction: at fixed aggregate hash rate and active power, total fixed-horizon energy does not scale with miner count; all continuous full-participation configurations consume 8.420833333 kWh regardless of N. The apparent miner-count scaling reflects obsolete pre-corrected energy accounting and is not reproduced by the frozen model.]",Forbidden miner-count energy scaling claim,STAGE_06_RESULTS_REPORT.md,high,yes
7,7.4.2,para:7.4.2,"When comparing PoW to PoCol, the simulated PoCol abstraction achieved significantly higher energy efficiency through greater energy and carbon cost reductions than the PoW baseline. This chapter shows that the operational behaviour of both PoCol and PoW show similar trajectories of lowering energy a"," [Stage-7 correction: the corrected experiments show EQUAL total fixed-horizon energy across the compared continuous configurations (accounting invariant A1; max relative deviation 3.6e-16). PoCol's measured advantage is the elimination of duplicate candidate-header evaluations under the modeled assumptions, not lower total energy; energy reductions are idle-driven or participation-driven only.]",Overclaim of energy efficiency vs baseline,STAGE_06_CONFIRMATORY_RESULTS.md,high,yes
7,7.4.3,para:7.4.3-tradeoff,"The trade-off appears when these gains are compared with stale-block behavior. PoCol simultaneously improves throughput and reduces energy, which is unusual and desirable, however, it pays for this advantage with a sharp increase in stale blocks. Therefore, the present prototype should be interprete"," [Stage-7 correction: total fixed-horizon energy is invariant under matched aggregate hash rate/power (A1), so the reported energy reduction is not supported. The single-height stale-race quantity is a SECONDARY diagnostic only (H7): reported as single_height_stales_per_accepted_block, a count-rate with seed/run-cluster bootstrap uncertainty, N=100 and N=500 kept separate; it is NOT a chain-wide f",Energy overclaim + H7 presented beyond single-height scope,STAGE_06_SECONDARY_DIAGNOSTICS.md; STAGE_06A_H7_INTERVAL_AUDIT.md,high,yes
7,7.4.3,para:7.4.3-idle,"The energy-saving and continuous-performance policies represent different operating objectives. Under the idle policy, miners stop active hashing after completing their assigned ranges, and energy savings depend on the measured idle power and idle duration. Under the continuous policy, miners remain"," [Stage-7 note: the preregistered idle-saving identity saving = sum idle_time_j*(P_active_j - P_idle_j)/3,600,000 was verified DIRECTLY for all 570 C2 runs (max absolute residual 7.1e-15 kWh, tolerance 1e-9, 0 failures). Under homogeneous rates with equal ranges no modeled idle arises and energy stays at the 8.4208 kWh anchor; idle savings require heterogeneity-induced early completion (H3/H4/H5).",Align idle-policy description with verified H3 identity and H5 trade-off,STAGE_06A_H3_IDENTITY_AUDIT.md; STAGE_06_CONFIRMATORY_RESULTS.md,high,yes
