field_name,source_file_or_adapter_key,unit,type,valid_range,primary_or_secondary,hypothesis_ids,zero_block_behavior,NA_rule,aggregation_rule,paired_control_requirement,interpretation_limit
total_energy_kwh,Models/PoCol/stage2/adapter.py::results_schema['energy_kwh'],kWh,float,>= 0,PRIMARY,IP-H1;IP-H2;IP-H3;IP-H4;IP-H5;IP-H6,defined (energy is not per-block),never NA,"one value per physical run; never averaged over rounds, miners or blocks",required: matched control under the same master seed,energy of THIS configuration; not an unconditional PoCol energy-reduction claim
continuous_all_active_control_kwh,Models/PoCol/stage2/adapter.py::results_schema['continuous_all_active_control_kwh'],kWh,float,> 0,PRIMARY,IP-H1;IP-H5,defined,never NA,"one value per physical run; never averaged over rounds, miners or blocks",not applicable (accounting reference),"an ACCOUNTING REFERENCE (N x P_hash x T), not a matched CONTROL simulation"
relative_energy_reduction_percent,"DERIVED: 100 * (E_control - E_treatment) / E_control, both from ['energy_kwh'] under the SAME master seed",percent,float,unbounded,SECONDARY,IP-H3;IP-H4;IP-H6,defined,NA if E_control == 0,"one value per physical run; never averaged over rounds, miners or blocks",required,"relative to the matched control only, never to an absolute PoW baseline"
accepted_blocks,Models/PoCol/stage2/adapter.py::results_schema['rounds_accepted'],count,int,>= 0,SECONDARY,IP-H8,"0 is a real value, retained",never NA,"one value per physical run; never averaged over rounds, miners or blocks",required,service throughput of this configuration only
accepted_blocks_per_horizon,DERIVED: ['rounds_accepted'] / horizon_T,blocks/second,float,>= 0,PRIMARY,IP-H8,"0 is a real value, retained",never NA (horizon_T > 0 always),"one value per physical run; never averaged over rounds, miners or blocks",required,service throughput only
round_duration,"DERIVED: consecutive differences of run_ctx.round_terminal_times (strictly increasing), first round measured from run_start_time",second,float,> 0,SECONDARY,IP-H8,defined (rounds exist even with no accepted block),NA if no round closed,per-round; summarised to the run by the median,required,"round latency, not block-interval"
median_round_duration,DERIVED: median of round_duration within the run,second,float,> 0,PRIMARY,IP-H8,defined,NA if no round closed,"one value per physical run; never averaged over rounds, miners or blocks",required,round latency only
zero_block_indicator,DERIVED: 1 if ['rounds_accepted'] == 0 else 0,indicator,int,0 or 1,SECONDARY,IP-H8,this IS the zero-block flag,never NA,"one value per physical run; never averaged over rounds, miners or blocks",required,feasibility indicator
zero_block_rate,DERIVED: mean of zero_block_indicator over master seeds within a condition,proportion,float,0..1,PRIMARY,IP-H8,definitional,never NA,across master seeds within one condition,required,condition-level zero-block frequency
security_floor_observation_count,Models/PoCol/stage2/adapter.py::results_schema['security_floor_observation_count'],count,int,>= 0,SECONDARY,IP-H7,defined,never NA,"one value per physical run; never averaged over rounds, miners or blocks",required,"operational measurement only; establishes no consensus-security, incentive-compatibility, fairness or Sybil-resistance property"
