id,chapter,section,object,change_type,original_text,revised_text,reason,authoritative_source,red
S7B-001,Abstract,Abstract (EN),p:abstract-eval,replace_in_place,"The thesis specifies the complete common-template PoCol protocol in Chapter 5. For evaluation, an idealized discrete-event abstraction of PoCol’s collaborative search and disjoint nonce allocation was implemented in an extended version of the BlockSim simulator with instrumented energy and carbon accounting, and compared against a PoW baseline across networks of 100 to 500 miners under identical, controlled simulation parameters. The full distributed common-template agreement protocol — including TemplateID enforcement, mempool reconciliation, and pre-committed reward enforcement — is specifie","The thesis specifies the complete common-template PoCol protocol in Chapter 5. For evaluation, an idealized discrete-event abstraction of PoCol's collaborative search and disjoint nonce allocation was implemented in an extended BlockSim simulator with instrumented energy accounting, and executed over a frozen matrix of 63 scientific-semantics groups x 30 master seeds (1,890 physical runs) at an aggregate hash rate of 141 TH/s, an efficiency of 21.5 J/TH, and a fixed 10,000-second horizon (aggregate power 3031.5 W). Under these matched assumptions the total fixed-horizon energy is an accounting","Remove 98-99% energy reduction, obsolete kWh comparison and energy claim; replace with A1 invariant",a1_invariant.json; STAGE_06_RESULTS_REPORT,yes
S7B-002,Abstract,Abstract (EN),p:abstract-contrib,replace_in_place,"The thesis contributes a structured comparative literature review of blockchain consensus mechanisms, the complete PoCol protocol design, a sustainability-aware evaluation framework built on BlockSim, and simulation-based proof-of-concept evidence that collaborative mining can make PoW-class consensus substantially more energy-efficient under the evaluated assumptions while maintaining open participation.","The thesis contributes a structured comparative literature review of blockchain consensus mechanisms, the complete PoCol protocol design, a sustainability-aware evaluation framework built on BlockSim, and preregistered simulation evidence that, under the modeled immutable common-template and disjoint-range assumptions, collaborative mining eliminates duplicate candidate identities while total fixed-horizon energy remains invariant under matched aggregate hash rate and power - with energy reductions arising only from explicit idle states under heterogeneous completion or from reduced participat",Remove unqualified energy-efficiency claim,STAGE_06_CLAIM_CLASSIFICATION,yes
S7B-003,Abstract,Abstract (AR),p:abstract-ar-eval,replace_in_place,تحدد الأطروحة في الفصل الخامس بروتوكول PoCol الكامل القائم على القالب الموحد. ولأغراض التقييم، نفذ في نسخة موسعة من محاكي BlockSim تجريد مثالي قائم على الأحداث المتقطعة للبحث التعاوني وتوزيع نطاقات النونس المنفصلة، مع تسجيل استهلاك الطاقة والانبعاثات الكربونية، ثم قورن بخط أساس لإثبات العمل في شبكات تضم 100 إلى 500 معدن تحت معلمات محاكاة مضبوطة ومتماثلة. أما بروتوكول الاتفاق الموزع الكامل على القالب الموحد، بما في ذلك فرض معرف القالب (TemplateID)، والمواءمة بين تجمعات المعاملات المعلقة، وفرض معاملة المكافأة الملتزم بها مسبقا، فهو محدد في الأطروحة لكنه غير منفذ بعد في النموذج الأولي، ويظل امتدا,تحدد الأطروحة في الفصل الخامس بروتوكول PoCol الكامل القائم على القالب الموحد. ولأغراض التقييم، نفذ في نسخة موسعة من محاكي BlockSim تجريد مثالي قائم على الأحداث المتقطعة للبحث التعاوني وتوزيع نطاقات النونس المنفصلة، على مصفوفة مثبتة مكونة من 63 مجموعة دلالية و30 بذرة (1890 تنفيذا فعليا) بمعدل تجزئة إجمالي 141 تيراهاش/ث وكفاءة 21.5 جول/تيراهاش وأفق زمني ثابت مقداره 10000 ثانية (قدرة إجمالية 3031.5 واط). في ظل هذه الافتراضات المتماثلة تكون الطاقة الكلية ثابتة محاسبيا عند 8.420833333 كيلوواط.ساعة لكل التهيئات المستمرة وبكل أعداد المعدنين؛ فتقسيم نطاق النونس وحده لا يخفض الطاقة الكلية. الأثر المؤكد,Arabic mirror of corrected EN abstract,STAGE_06_RESULTS_REPORT,yes
S7B-004,Abstract,Abstract (AR),p:abstract-ar-contrib,replace_in_place,وتسهم الأطروحة بمراجعة أدبية مقارنة منظمة لآليات التوافق في البلوك تشين، وبالتصميم الكامل لبروتوكول PoCol، وبإطار تقييم يراعي الاستدامة ومبني على BlockSim، وبأدلة قائمة على المحاكاة تثبت صحة المفهوم وتشير إلى أن التعدين التعاوني يمكن أن يجعل آليات التوافق من فئة إثبات العمل أكثر كفاءة في استهلاك الطاقة بدرجة كبيرة، في ظل افتراضات المحاكاة المعتمدة، مع الحفاظ على المشاركة المفتوحة.,وتسهم الأطروحة بمراجعة أدبية مقارنة منظمة لآليات التوافق في البلوك تشين، وبالتصميم الكامل لبروتوكول PoCol، وبإطار تقييم يراعي الاستدامة ومبني على BlockSim، وبأدلة محاكاة مسجَّلة مسبقا تبين أنه في ظل افتراضات القالب الموحد الثابت والنطاقات المنفصلة يزيل التعدين التعاوني تكرار هويات المرشحات بينما تبقى الطاقة الكلية ثابتة عند تثبيت معدل التجزئة الإجمالي والقدرة، ولا يحدث خفض الطاقة إلا من حالات الخمول الصريحة عند اختلاف أزمنة الإكمال أو من انخفاض المشاركة، مع الحفاظ على المشاركة المفتوحة.,Arabic mirror of corrected contributions,STAGE_06_CLAIM_CLASSIFICATION,yes
S7B-005,5,5.6.4,heading:5.6.4,replace_in_place,5.6.4. Fairness Across Rounds89,5.6.4. Range-Assignment Balance Across Rounds,Replace fairness wording,STAGE_06A_CORRECTION_REPORT,yes
S7B-006,5,5.6.4,p:5.6.4,replace_in_place,"For a fixed nonce-free header template and target, the position of a miner's assigned range within the nonce domain does not make individual nonce values intrinsically favourable. A miner's probability of producing a successful candidate header depends on the number of candidate headers it can evaluate within its assigned range and on the per-header success probability. The pseudo-random ordering  changes the locations of assigned ranges across rounds. Under the common-template invariant, disjoint assigned ranges also ensure that honest miners do not evaluate the same serialized candidate head","For a fixed nonce-free header template and target, the position of a miner's assigned range within the nonce domain does not make individual nonce values intrinsically more likely to satisfy the target. A miner's probability of producing a successful candidate header depends on the number of candidate headers it evaluates within its assigned range and on the per-header success probability. The pseudo-random ordering changes the locations of assigned ranges across rounds, giving modeled range-assignment balance. Under the common-template invariant, disjoint assigned ranges also ensure that hone",Reframe as modeled range-assignment balance,STAGE_06A_CORRECTION_REPORT,yes
S7B-007,6,6.4,p:6.4-design,replace_in_place,"The experiment was designed to compare the performance of two consensus protocols on a controlled basis. The main independent variable was the number of miners participating in the protocol. Five different miner populations – 100 miners, 200 miners, 300 miners, 400 miners, and 500 miners – were created for each consensus protocol. Therefore, there were 10 main log files generated during the experiment (5 for PoW and 5 for PoCol).","The corrected evaluation executes a frozen experimental matrix rather than an ad hoc PoW-versus-PoCol comparison. The matrix comprises 63 scientific-semantics groups x 30 frozen master seeds = 1,890 physical executions, each identified by a unique run-execution hash; the statistical unit is one physical run and comparisons are seed-matched. Scenarios span continuous full-participation configurations (B0, B1, B2, and the disjoint B3/C1) and the explicit idle-policy scenario (C2); B3 and C1 share one physical execution and are two interpretations of one dataset, never counted as independent samp",Replace obsolete PoW-vs-PoCol/10-file design with frozen-matrix methods,STAGE_06_ANALYSIS_PLAN; matrix,yes
S7B-008,7,7.4.1,p:7.4.1-energy,replace_in_place,"The largest improvement observed for the simulated PoCol abstraction concerns energy consumption. Figure 7.4 illustrates the total cumulative energy consumption of PoCol and PoW under varying numbers of miners. In simulations with 100 miners, PoW consumed approximately 7.90 kWh of electrical power, where PoCol consumed approximately 0.131 kWh (reduction of approximately 98.3% from PoW). With 400 miners, PoW consumed approximately 33.078 kWh whereas PoCol continued to consume approximately 0.454 kWh (reduction of approximately 98.6% from PoW). At 500 miners, PoW used approximately 40.408 kWh to","The corrected energy accounting shows that total fixed-horizon energy is an accounting invariant, not a PoCol advantage. Under the frozen setting (141 TH/s, 21.5 J/TH, 10,000 s -> 3031.5 W), every continuous full-participation configuration - B0, B1, B2, and the disjoint B3/C1 - consumes exactly 8.420833333 kWh, for all miner counts from 100 to 500, with a maximum relative deviation of 3.6e-16 (accounting invariant A1). Nonce-domain partitioning alone therefore does not reduce total energy: search discipline changes duplicate candidate-header evaluations and coverage, not the fixed-horizon tot",Replace obsolete 7.90/0.131/98.3% numbers with A1 invariant,a1_invariant.json,yes
S7B-009,7,7.4.1,p:7.4.1-perblock,replace_in_place,"When we normalize energy consumption by accepted blocks and accepted transactions, it becomes clearer that PoCol has a much lower cost per block than PoW. This is displayed in the energy requirements for every main-chain block in Figure 7.5. Since PoCol allows for many main-chain blocks to be created while keeping energy usage low, it has a much lower cost per block than PoW, which has costs that can be orders of magnitude higher than those of PoCol. The energy required per transaction for PoCol is also indicated by Figure 7.6 and shows similar results to those found in Figure 7.5. In all case","Because total fixed-horizon energy is invariant across the compared continuous configurations, energy per accepted block differs only through differences in the number of accepted blocks, not through differences in total energy. Under the common-template baseline (B1), redundant search collapses distinct coverage so almost no blocks are accepted (near-certain zero-block runs), leaving energy per accepted block undefined (NA, conditional on at least one accepted block); the disjoint configurations (B3/C1) recover full coverage. This is a coverage effect under the modeled assumptions, not a tota",Replace unsupported lower-cost-per-block claim,STAGE_06_CONFIRMATORY_RESULTS,yes
S7B-010,7,7.4.1,p:7.4.1-timeseries,replace_in_place,"The time-series diagrams reinforce the same conclusion. Figure 7.7 illustrates cumulative energy over simulation time. The PoW curves rise steeply with miner count, whereas the PoCol curves stay compressed near the horizontal axis. This indicates that the event-driven collaborative model suppresses most of the redundant work that dominates PoW energy expenditure.","At fixed aggregate hash rate and active power, total fixed-horizon energy does not scale with miner count: all continuous full-participation configurations consume 8.420833333 kWh regardless of N (100-500). The earlier time-series interpretation, in which one curve rose with miner count while another stayed compressed, was an artifact of the obsolete pre-corrected energy accounting and is not reproduced by the frozen model.",Remove forbidden miner-count energy scaling,STAGE_06_RESULTS_REPORT,yes
